time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:21.65,0.05,-0.38,9.84,0.125,-0.1875,-0.0625,-16.5,9.6875,-44.75
2021-06-17T15:56:21.692,0.05,-0.39,9.86,-0.0625,-0.125,0.0625,-16.5,9.25,-46.0625
2021-06-17T15:56:21.692,0.06,-0.42,9.87,0.0,-0.0625,-0.0625,-16.5,9.25,-46.0625
2021-06-17T15:56:21.692,0.05,-0.39,9.83,0.125,-0.0625,-0.0625,-16.5,9.25,-46.0625
2021-06-17T15:56:21.693,0.05,-0.39,9.85,-0.1875,0.25,-0.1875,-16.875,9.6875,-45.5625
2021-06-17T15:56:21.693,0.05,-0.39,9.83,0.0625,-0.0625,0.0625,-16.875,9.6875,-45.5625
2021-06-17T15:56:21.693,0.06,-0.39,9.86,-0.1875,0.125,0.0625,-16.1875,8.875,-44.75
2021-06-17T15:56:21.693,0.05,-0.01,-0.01,0.0,0.125,0.0,-0.0625,-0.0625,-0.0625
2021-06-17T15:56:21.694,0.04,-0.39,9.85,-0.0625,0.0625,-0.1875,-16.1875,8.875,-44.75
2021-06-17T15:56:21.694,0.05,-0.39,9.87,-0.0625,-0.0625,-0.0625,-16.1875,8.875,-44.75
2021-06-17T15:56:21.699,0.07,-0.41,9.84,0.0,-0.1875,0.0625,-16.5,8.5,-44.75
2021-06-17T15:56:21.712,0.04,-0.4,9.85,-0.125,0.0,0.0,-16.5,8.5,-44.75
2021-06-17T15:56:21.725,0.06,-0.4,9.84,-0.125,-0.0625,0.0625,-16.5,8.5,-44.75
2021-06-17T15:56:21.737,0.05,-0.39,9.86,0.0,0.0625,0.0625,-16.5,8.5,-44.75
2021-06-17T15:56:21.75,0.06,-0.4,9.85,0.0625,-0.125,0.0,-16.1875,8.5,-46.375
2021-06-17T15:56:21.763,0.06,-0.39,9.87,0.125,0.125,-0.125,-16.1875,8.5,-46.375
2021-06-17T15:56:21.776,0.06,-0.4,9.85,0.0,0.0625,0.0,-16.1875,8.5,-46.375
2021-06-17T15:56:21.797,0.06,-0.41,9.85,0.0625,-0.125,0.0,-16.1875,8.1875,-45.25
2021-06-17T15:56:21.811,0.04,-0.4,9.83,0.0625,0.0,0.0,-16.1875,8.1875,-45.25
2021-06-17T15:56:21.824,0.07,-0.41,9.85,0.0625,-0.125,-0.125,-16.1875,8.1875,-45.25
2021-06-17T15:56:21.837,0.05,-0.41,9.84,0.0,0.0625,0.0,-16.1875,8.1875,-45.25
2021-06-17T15:56:21.85,0.06,-0.4,9.85,0.0625,-0.125,0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:21.862,0.05,-0.41,9.83,0.0,0.0625,-0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:21.875,0.05,-0.4,9.82,0.0,0.0,0.0,-15.75,9.25,-45.5625
2021-06-17T15:56:21.888,0.04,-0.4,9.85,-0.0625,-0.0625,-0.125,-15.75,9.25,-45.5625
2021-06-17T15:56:21.901,0.05,-0.4,9.86,0.0,0.125,-0.0625,-16.5,8.875,-46.0
2021-06-17T15:56:21.914,0.05,-0.4,9.83,0.0,0.0625,0.0,-16.5,8.875,-46.0
2021-06-17T15:56:21.927,0.05,-0.41,9.82,0.0625,0.0,-0.0625,-16.5,8.875,-46.0
2021-06-17T15:56:21.939,0.07,-0.39,9.86,0.0,-0.0625,0.0,-16.5,8.875,-46.0
2021-06-17T15:56:21.952,0.05,-0.41,9.81,0.1875,-0.125,-0.1875,-16.5,8.875,-45.5625
2021-06-17T15:56:21.965,0.05,-0.4,9.84,0.0625,-0.125,0.0,-16.5,8.875,-45.5625
2021-06-17T15:56:21.978,0.06,-0.42,9.84,0.0,0.0,0.0,-16.5,8.875,-45.5625
